symbol,sector,industry,gain,market_cap
DNTH,Healthcare,Biotechnology,0.9145205479452053,1186382860.47
DNUT,Consumer Defensive,Grocery Stores,0.20766773162939295,639200000.0
DOCN,Technology,Software - Infrastructure,0.29442327675788,3563944499.29
DOCS,Healthcare,Health Information Services,0.20374630299047003,13507995260.939999
DOCU,Technology,Software - Application,-0.1018804739824832,13789549931.999998
DOMH,Healthcare,Biotechnology,0.42941176470588244,42112885.98
DOMO,Technology,Software - Application,0.004620462046204639,615069624.4
DOOO,Consumer Cyclical,Recreational Vehicles,0.33555860985666597,4882172955.45
DORM,Consumer Cyclical,Auto Parts,0.2583073104331812,4763689912.740001
DOUG,Real Estate,Real Estate Services,0.20168067226890757,248465946.39999998
DOV,Industrials,Specialty Industrial Machinery,-0.11079681912792864,22882336950.75
DOW,Basic Materials,Chemicals,-0.1331877729257642,16673778445.390001
DOX,Technology,Software - Infrastructure,-0.10346329775648008,9209703930.0
DOYU,Communication Services,Internet Content & Information,0.0643776824034335,225737865.32000002
DPRO,Industrials,Aerospace & Defense,1.9999999999999998,54983563.35
DPZ,Consumer Cyclical,Restaurants,-0.05849256431755008,14790114082.880001
DQ,Technology,Semiconductor Equipment & Materials,0.659598853868195,9828275842.45
DRCT,Financial Services,Insurance - Property & Casualty,-0.5040625,5615555.284200001
DRD,Basic Materials,Gold,1.050859598853868,2395831500.0
DRI,Consumer Cyclical,Restaurants,-0.10573095083788539,22666731623.14
DRIO,Healthcare,Diagnostics & Research,22.34713694131087,717862366.3199999
DRMA,Healthcare,Biotechnology,5.9928057553956835,26664481.68
DRS,Industrials,Aerospace & Defense,-0.05873621713316362,11833988106.37
DRTS,Healthcare,Biotechnology,0.310030395136778,308226965.20000005
DRUG,Healthcare,Biotechnology,0.9487742407610684,253348872.0
DRVN,Consumer Cyclical,Auto & Truck Dealerships,-0.11880630630630637,2580427080.0
DSGN,Healthcare,Biotechnology,0.7259887005649718,341427508.16999996
DSGR,Consumer Cyclical,Packaging & Containers,0.04291241646148431,1386524429.14
DSGX,Technology,Software - Application,-0.08255984367366867,7864988400.15
DSP,Technology,Software - Application,-0.3652300949598247,528558117.18000007
DSS,Consumer Cyclical,Packaging & Containers,0.6954022988505748,12729525.2
DSWL,Technology,Electronic Components,0.44,62944194.050000004
DSX,Industrials,Marine Shipping,0.12666666666666662,200067020.16
DT,Technology,Software - Application,-0.12482344632768362,14931579646.04
DTCK,Consumer Defensive,Farm Products,-0.0025672371638141697,19387252.5
DTE,Utilities,Utilities - Regulated Electric,0.06771905742393042,28864720079.2
DTIL,Healthcare,Biotechnology,0.26218097447795846,56812066.019999996
DTM,Energy,Oil & Gas Midstream,0.09246183206106869,11490003414.24
DTSS,Technology,Software - Infrastructure,0.033591731266149845,15353274.099999998
DUK,Utilities,Utilities - Regulated Electric,0.05328672521101543,94394364742.56
DUO,Real Estate,Real Estate Services,0.35930735930735935,20075684.56
DUOL,Technology,Software - Application,-0.1862025476100391,14160997026.0
DUOT,Technology,Software - Application,0.007643312101910891,87471296.55
DV,Technology,Software - Application,-0.2684824902723736,1880912844.25
DVA,Healthcare,Medical Care Facilities,-0.08157692038372667,10568000000.0
DVAX,Healthcare,Drug Manufacturers - Specialty & Generic,-0.019417475728155442,1253115372.8999999
DVN,Energy,Oil & Gas E&P,0.05752753977968184,22273680000.0
DWSN,Energy,Oil & Gas Equipment & Services,0.33834586466165406,55150517.86
DXC,Technology,Information Technology Services,-0.11481719050673503,2460449943.99
DXCM,Healthcare,Medical Devices,-0.19158427779117435,25962892875.92
DXLG,Consumer Cyclical,Apparel Retail,0.008196721311475417,67441328.64
DXPE,Industrials,Industrial Distribution,0.4250280583613918,2003164081.4399998
DXR,Healthcare,Medical Instruments & Supplies,0.4096653144016228,58976568.0
DY,Industrials,Engineering & Construction,0.13612025542378928,8449737058.04
DYAI,Healthcare,Biotechnology,0.26706717640633526,36710606.42
DYCQ,Industrials,Shell Companies,0.04275862068965516,80453138.22
DYN,Utilities,Utilities - Regulated Electric,0.5965770171149145,1419673030.3500001
E,Energy,Oil & Gas Integrated,0.07711213517665147,54266319599.99999
EA,Communication Services,Electronic Gaming & Multimedia,0.30717123689181264,52384136394.0
EAF,Industrials,Electrical Equipment & Parts,13.437689969604863,3264676479.9
